ISBN|EAN|VENDOR_STOCK_ID|TITLE|QTY_ON_HAND|LIST_PRICE_EXCL_TAX|LIST_PRICE_INCL_TAX|COST_PRICE|DISCOUNT|ISO_CURRENCY_CODE
|5903887803625||Milk frother - frothing and heating|447|||||EUR
|5903887806053||Milk frother with a stand|2442|||||EUR
|5903887806077||Milk frother with a stand|4409|||||EUR
|5903887808071||Vacuum sealer|0|||||EUR
|5905575900395||Electric lunch box|605|||||EUR
|5905575900371||Electric lunch box|1085|||||EUR
|5905575900791||Thermal flask LED 473ml black|2026|||||EUR
|5905575900838||Thermal flask LED 473ml blue|3534|||||EUR
|5905575900814||Thermal flask LED 473ml pink|2880|||||EUR
|5905575900777||Thermal flask LED 473ml white|3451|||||EUR
|5905575902368||Electric Knife Sharpener|516|||||EUR
|5905575902900||Electric Wine Opener – set|1937|||||EUR
|5905575903365||Popcorn machine|410|||||EUR
|5905575903341||Electric knife|686|||||EUR
|5905575906038||Food vacuum air extracting set|1344|||||EUR
|5905575906052||Vacuum bags set|929|||||EUR
|5905575906076||Vacuum bags set|448|||||EUR
|5905575906090||Food vacuum air extracting set|1041|||||EUR
|5905575905871||Knife sharpener electric|1378|||||EUR
|5905575906878||Electric lunch box with 5 litres thermal bag|1413|||||EUR
|5905575906892||Electric lunch box with thermal bag 5 litres|1449|||||EUR
|5905575906915||Electric lunch box with thermal bag 5 litres|1462|||||EUR
|5905575906953||Thermal bag - 10 L|1193|||||EUR
|5902934831291||Hand Blender|2590|||||EUR
|5908256839816||Hand blender|2010|||||EUR
|5903887801898||Hand blender|0|||||EUR
|5903887800051||Hand blender - set|4283|||||EUR
|5902934833448||Blender hand|3542|||||EUR
|5902934839013||Hand blender|3005|||||EUR
|5902934838993||Hand blender|3375|||||EUR
|5905575901712||Hand blender set|0|||||EUR
|5905575902047||Hand Blender with Turbo Function and Ice Crushing|1198|||||EUR
|5903887804561||Food Slicer AD 4703|652|||||EUR
|5908256832060||Meat mincer|43|||||EUR
|5902934830232||Meat mincer|1501|||||EUR
|5902934838207||Meat mincer|915|||||EUR
