ISBN|EAN|VENDOR_STOCK_ID|TITLE|QTY_ON_HAND|LIST_PRICE_EXCL_TAX|LIST_PRICE_INCL_TAX|COST_PRICE|DISCOUNT|ISO_CURRENCY_CODE
|5905575902573||Electric grill|730|||||EUR
|5905575902719||Sandwich Maker|544|||||EUR
|5905575902924||Sandwich maker 2 in 1|625|||||EUR
|5905575902559||Sandwich maker 2 in 1|613|||||EUR
|5905575902528||Nut Cookie Maker (12 pcs)|2196|||||EUR
|5905575902474||Electric grill|1710|||||EUR
|5905575903112||Sandwich maker 2 in 1|1311|||||EUR
|5905575904959||Donut maker  - 7 donuts|5150|||||EUR
|5905575904935||Sandwich maker|2317|||||EUR
|5905575903624||Sandwich maker|1594|||||EUR
|5905575904973||Waffle maker 1800 W|963|||||EUR
|5905575906410||Waffle maker|2637|||||EUR
|5905575907639||Waffle Maker with LED Display|1835|||||EUR
|5901436590286||Waffle maker 700 W|959|||||EUR
|5901436590132||Kitchen scale with a bowl 1,8L|2125|||||EUR
|5908256839434||Kitchen scale with a bowl|90|||||EUR
|5907633494587||Kitchen scale with a bowl|1859|||||EUR
|5908256833722||Kitchen scale|0|||||EUR
|5908256839168||Kitchen scale|992|||||EUR
|5908256832268||Kitchen scale|1241|||||EUR
|5902934830874||Precision scale - 0.1 gram|1082|||||EUR
|5902934830881||Precision scale - 0.1 gram|583|||||EUR
|5902934834704||Kitchen scale with a bowl|2102|||||EUR
|5902934837262||Precision scale|1139|||||EUR
|5903887801577||Kitchen scale - up to 15kg - big size|1177|||||EUR
|5903887801591||Kitchen scale - up to 10kg|899|||||EUR
|5903887804738||Kitchen scale - up to 10kg - LED|1874|||||EUR
|5903887804714||Kitchen scale - up to 10kg - LED|1498|||||EUR
|5903887807180||Precision scale|1502|||||EUR
|5903887808583||Kitchen scale 10kg USB charged|1091|||||EUR
|5903887808606||Kitchen scale 10kg USB charged|117|||||EUR
|5903887809702||Kitchen scale with a measuring cup|1924|||||EUR
|5905575904287||Kitchen scale LCD - 10 kg|596|||||EUR
|5905575904324||Kitchen scale|0|||||EUR
|5905575904348||Kitchen scale|120|||||EUR
|5905575904300||Kitchen scale|39|||||EUR
|5905575906205||Kitchen scale - 5kg|992|||||EUR
|5905575906182||Kitchen scale - 5kg|1561|||||EUR
|5903887802154||Toaster|3444|||||EUR
|5902934838238||Toaster 2 slice|907|||||EUR
|5903887802178||Toaster with bun grid|1084|||||EUR
|5903887805179||Toaster 2 slices|368|||||EUR
|5903887801157||Citrus juicer|306|||||EUR
|5903887805131||Citrus juicer|1812|||||EUR
|5905575904560||Citrus juicer|2052|||||EUR
|5908256835207||Blender|0|||||EUR
|5908256839007||Blender|0|||||EUR
|5902934832243||Blender - Glass jar 1,5L|380|||||EUR
|5902934834582||Jar for AD4076 / CR4077|24|||||EUR
|5902934835763||Blender|760|||||EUR
|5902934838214||Cup for blender|43|||||EUR
|5903887801409||Personal blender with cooling stick|1870|||||EUR
|5903887803274||Chopper with the glass bowl|1801|||||EUR
|5905575905017||Blender Smoothie Set|198|||||EUR
|5903887809863||Blender - jar 1,5L plastic|1829|||||EUR
|5903887809887||Jug for blender AD4085|31|||||EUR
|5903887809023||Juice extractor - 1000W|947|||||EUR
|5903887809047||Juice extractor - 1000W|1009|||||EUR
|5905575900517||Juice extractor - 1000W|257|||||EUR
|5905575900975||Slow Juicer 4130|186|||||EUR
|5905575900999||Slow-speed juicer 3in1 - Meat mincer, Juicer, Vegetable grater|630|||||EUR
|5905575902061||Juice extractor 600W - titanium blades|1196|||||EUR
|5908256831216||Mixer|550|||||EUR
|5908256831223||Mixer with a bowl|1111|||||EUR
|5908256831537||Mixer|1739|||||EUR
|5908256836594||Mixer|1664|||||EUR
|5908256831544||Mixer with a bowl|2114|||||EUR
|5908256835375||Mixer with blending shaft|2675|||||EUR
|5902934834278||Planetary food processor 1000W|395|||||EUR
|5903887803953||Planetary food processor 2200W 7L|0|||||EUR
|5903887803014||LCD food processor 12in1|634|||||EUR
|5903887802994||Hand Mixer INOX|573|||||EUR
|5903887804844||Planetary food processor 1200W|0|||||EUR
|5905575905994||Hand mixer|977|||||EUR
|5905575905970||Hand mixer with a pull-out tray for accessories|1175|||||EUR
|5905575907516||Hand mixer – TURBO POWER|2184|||||EUR
|5905575901453||Burr coffee grinder|1705|||||EUR
|5902934830553||Espresso machine - 15 bar|231|||||EUR
|5902934830454||Coffee maker 0,7 L|2644|||||EUR
|5905575901491||Espresso coffee maker|0|||||EUR
|5905575901538||Espresso coffee maker|1219|||||EUR
|5905575901552||Espresso coffee maker|0|||||EUR
