Link;Price;Currency;Available_in_warehouse_pcs;EAN_PCS;Product_name
ad_7861.1;1.37;EUR;164;5903887809504;Air filter for AD7861
ad_7863;103.96;EUR;266;5905575904041;2-in1 Air Dehumidifier & Air purifier LED (compressor)
ad_7863.1;4.93;EUR;0;5905575904447;HEPA air filter
ad_7863.2;0.90;EUR;0;5905575904461;Activated carbon air filter
ad_7863.3;1.27;EUR;0;5905575904485;PP air filter
ad_7864;197.70;EUR;473;5905575907653;Industrial compressor air dehumidifier 50L - 24h
ad_7909;147.86;EUR;0;5902934831192;Air conditioner 7000 BTU
ad_7913;48.78;EUR;0;5902934835022;Air cooler 3in1 12L
ad_7915;36.96;EUR;0;5902934835046;Air cooler 7L 3 in 1 with remote controller
ad_7916;169.29;EUR;0;5902934835497;Air conditioner 9000 BTU
ad_7917;52.92;EUR;575;5902934838665;Air Dehumidifier (compressor)
ad_7919;7.90;EUR;0;5902934839358;Air Cooler 3in1 USB/4xAA 1,5V
ad_7921;32.25;EUR;0;5902934839334;Air cooler 3 in 1
ad_7922;52.63;EUR;0;5902934839396;Air cooler 3 in 1
ad_7924;109.41;EUR;0;5902934839389;Air conditioner 5000 BTU
ad_7925;201.02;EUR;0;5902934839488;Air conditioner 12.000 BTU
ad_7939;11.90;EUR;0;5903887806909;Mosquito killer lamp UV
ad_7940;12.26;EUR;1990;5905575906670;Insects killer lamp LED
ad_7954;15.91;EUR;0;5908256834156;Air humidifier
ad_7957;18.59;EUR;0;5902934830898;Air humidifier
ad_7961.1;8.55;EUR;630;5902934830621;Hepa filter for AD 7961
ad_7963.1;1.16;EUR;87;5902934836012;Filter for air humidifier AD7963
ad_7966;26.74;EUR;0;5903887801850;Air Humidifier
ad_7967;14.92;EUR;897;5903887809290;Ultrasonic aroma diffuser 3in1
ad_7968;8.01;EUR;2134;5903887809337;USB 3in1 ultrasonic aroma diffuser
ad_7969;9.18;EUR;3021;5903887809313;USB 3in1 ultrasonic aroma diffuser
ad_7972b;29.45;EUR;623;5905575900425;Ultrasonic Humidifier
ad_7972w;29.45;EUR;320;5905575900449;Ultrasonic Humidifier
ad_7972.1;3.06;EUR;261;5905575900593;Air humidifier filter
ad_8051;33.56;EUR;1438;5908256835788;Washing machine + spinning
ad_8055;33.56;EUR;0;5902934835749;Washing machine + spinning
ad_8078;36.77;EUR;747;5902934839860;Portable cooler 28 L
ad_8080;279.86;EUR;101;5903887804875;Wine cooler 60L Dual cooling zone
ad_8081;149.40;EUR;263;5903887805193;Portable refrigerator 40L with compressor
ad_8083;81.23;EUR;180;5905575900623;Beverage pantry - 33 L capacity
ad_8084;22.80;EUR;722;5903887809092;Mini fridge - 4L
ad_8084p;22.80;EUR;1098;5905575901231;Mini fridge - 4L
ad_8085;24.25;EUR;1154;5903887809078;Mini fridge - w/ mirror - 4L
